ID;CustomerName;Phone;CarModel;VehiclePlate;ServiceType;Amount;PaymentMethod;Status;ServiceDate;CompletedAt;HandledBy
a1b2c3d4-1111-4000-8000-000000000019;Swati Kulkarni;9545566778;Tata Altroz;MH 12 GH 3344;Water Wash;200.00;UPI;Completed;2025-05-16;2025-05-16;staff
a1b2c3d4-1111-4000-8000-000000000020;Rohit Bhatt;9656677889;Kia Sonet;GJ 06 IJ 5566;Full Wash, PPF;3100.00;Card;Completed;2025-05-17;2025-05-17;admin
a1b2c3d4-1111-4000-8000-000000000021;Nidhi Saxena;9767788990;Maruti Ertiga;DL 08 KL 7788;Full Interior Cleaning, Seat Cleaning;550.00;Online;Pending;2025-05-18;;staff
a1b2c3d4-1111-4000-8000-000000000022;Gaurav Pandey;9878899001;Toyota Glanza;UP 14 MN 9900;Full Wash;400.00;Cash;Pending;2025-05-18;;staff
a1b2c3d4-1111-4000-8000-000000000023;Isha Malhotra;9989900112;Hyundai Tucson;MH 01 OP 1122;Ceramic Coating;2200.00;UPI;Pending;2025-05-19;;admin
a1b2c3d4-1111-4000-8000-000000000024;Aditya Chopra;9100011223;BMW X1;DL 02 QR 3344;Full Wash, Glass Coating;1100.00;Card;Pending;2025-05-19;;admin
a1b2c3d4-1111-4000-8000-000000000025;Pallavi Ghosh;9211122334;Tata Punch;WB 06 ST 5566;Half Wash;150.00;Online;Pending;2025-05-20;;staff
a1b2c3d4-1111-4000-8000-000000000026;Sanjay Mishra;9322233445;Mahindra Scorpio;RJ 14 UV 7788;Washing & Gressing;350.00;Cash;Pending;2025-05-20;;staff
a1b2c3d4-1111-4000-8000-000000000027;Tanvi Shah;9433344556;Honda Elevate;GJ 01 WX 9900;Full Wash, Teflon Paint Protection;1700.00;UPI;Pending;2025-05-21;;admin
a1b2c3d4-1111-4000-8000-000000000028;Devesh Chauhan;9544455667;Kia Carnival;MH 02 YZ 1122;Full Wash, Full Interior Cleaning;750.00;Card;Pending;2025-05-21;;admin
a1b2c3d4-1111-4000-8000-000000000029;Aparna Rajan;9655566778;Maruti Brezza;KA 01 AB 3344;Deseil Wash;160.00;Online;Pending;2025-05-22;;staff
a1b2c3d4-1111-4000-8000-000000000030;Vishal Kapoor;9766677889;Toyota Camry;DL 01 CD 5566;Synthetic Coating, Cutting Polish;1850.00;Card;Pending;2025-05-22;;admin
